iter	Passed	Remaining
0	7	5701
1	12	4960
2	14	3798
3	16	3186
4	18	2993
5	25	3405
6	28	3187
7	29	2958
8	31	2774
9	33	2643
10	35	2524
11	37	2448
12	38	2360
13	42	2396
14	46	2411
15	47	2325
16	48	2245
17	50	2183
18	51	2119
19	52	2062
20	54	2024
21	56	1997
22	57	1952
23	59	1909
24	60	1872
25	61	1835
26	62	1800
27	64	1770
28	66	1759
29	71	1827
30	73	1826
31	75	1811
32	76	1786
33	78	1760
34	79	1736
35	80	1712
36	82	1692
37	83	1674
38	85	1665
39	86	1645
40	87	1626
41	89	1609
42	90	1591
43	91	1576
44	93	1563
45	95	1562
46	96	1553
47	99	1557
48	103	1582
49	105	1582
50	107	1573
51	108	1563
52	110	1552
53	111	1541
54	113	1534
55	114	1523
56	116	1512
57	117	1501
58	118	1489
59	119	1478
60	121	1467
61	122	1461
62	124	1452
63	125	1442
64	126	1433
65	128	1424
66	129	1416
67	130	1408
68	132	1402
69	133	1396
70	135	1387
71	136	1379
72	137	1371
73	138	1363
74	140	1356
75	141	1352
76	143	1345
77	144	1337
78	146	1333
79	149	1343
80	151	1343
81	152	1336
82	153	1330
83	155	1323
84	156	1316
85	157	1308
86	158	1302
87	161	1303
88	163	1306
89	165	1303
90	166	1299
91	168	1297
92	170	1297
93	172	1295
94	173	1289
95	175	1284
96	176	1280
97	180	1292
98	182	1292
99	183	1287
100	185	1281
101	186	1276
102	187	1271
103	189	1269
104	194	1286
105	196	1288
106	198	1285
107	199	1280
108	201	1275
109	202	1269
110	203	1264
111	204	1259
112	206	1254
113	208	1253
114	209	1250
115	211	1245
116	212	1240
117	213	1235
118	215	1230
119	216	1226
120	218	1224
121	219	1219
122	221	1217
123	222	1214
124	224	1210
125	227	1215
126	229	1216
127	230	1211
128	232	1207
129	233	1202
130	234	1198
131	237	1200
132	238	1197
133	240	1194
134	241	1189
135	242	1185
136	244	1181
137	245	1177
138	247	1175
139	248	1171
140	249	1167
141	251	1164
142	252	1161
143	254	1157
144	256	1156
145	258	1158
146	260	1158
147	262	1154
148	263	1150
149	265	1149
150	267	1147
151	268	1145
152	270	1142
153	271	1138
154	272	1135
155	274	1132
156	275	1129
157	276	1125
158	278	1121
159	279	1118
160	280	1114
161	285	1124
162	286	1121
163	288	1118
164	289	1114
165	290	1110
166	292	1107
167	293	1105
168	295	1102
169	296	1100
170	298	1098
171	300	1096
172	301	1092
173	303	1091
174	305	1090
175	308	1094
176	309	1091
177	311	1087
178	313	1087
179	314	1083
180	315	1080
181	317	1077
182	318	1073
183	319	1071
184	321	1067
185	323	1066
186	324	1063
187	325	1059
188	327	1057
189	328	1055
190	330	1053
191	332	1052
192	333	1049
193	334	1046
194	336	1044
195	339	1047
196	341	1046
197	343	1043
198	344	1040
199	345	1037
200	347	1034
201	348	1031
202	349	1028
203	351	1027
204	353	1024
205	354	1021
206	355	1018
207	356	1015
208	358	1014
209	362	1018
210	364	1016
211	365	1013
212	366	1010
213	368	1008
214	369	1005
215	371	1003
216	372	1001
217	374	999
218	375	996
219	376	993
220	378	990
221	379	987
222	381	985
223	382	983
224	383	981
225	387	985
226	390	984
227	391	982
228	393	979
229	394	976
230	395	973
231	396	970
232	397	967
233	399	966
234	400	963
235	402	961
236	404	959
237	405	957
238	407	956
239	408	954
240	410	951
241	411	948
242	412	946
243	414	943
244	415	940
245	419	945
246	421	944
247	423	942
248	425	940
249	426	938
250	428	936
251	429	933
252	430	931
253	431	928
254	433	926
255	434	923
256	435	921
257	437	919
258	438	916
259	440	914
260	441	911
261	442	909
262	443	906
263	445	903
264	446	902
265	448	900
266	450	898
267	451	896
268	452	893
269	453	891
270	455	888
271	456	886
272	458	884
273	459	881
274	460	879
275	461	876
276	463	874
277	466	876
278	468	875
279	469	872
280	471	870
281	472	867
282	473	864
283	475	863
284	476	860
285	478	859
286	479	857
287	481	855
288	482	853
289	483	850
290	485	849
291	486	846
292	487	844
293	489	841
294	490	839
295	491	837
296	492	834
