Id,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CommunicationSkill,Behaviour
1,30,0,Non-Travel,Research & Development,2,3,Medical,571,3,Female,3,Laboratory Technician,4,Single,2564,0,No,14,3,0,12,2,11,7,6,7,4,1
2,36,0,Travel_Rarely,Research & Development,12,4,Life Sciences,1614,3,Female,3,Manufacturing Director,3,Married,4663,9,Yes,12,3,2,7,2,3,2,1,1,2,1
3,55,1,Travel_Rarely,Sales,2,1,Medical,842,3,Male,3,Sales Executive,4,Single,5160,4,No,16,3,0,12,3,9,7,7,3,5,1
4,39,0,Travel_Rarely,Research & Development,24,1,Life Sciences,2014,1,Male,3,Research Scientist,4,Single,4108,7,No,13,3,0,18,2,7,7,1,7,4,1
5,37,0,Travel_Rarely,Research & Development,3,3,Other,689,3,Male,3,Manufacturing Director,3,Married,9434,1,No,15,3,1,10,2,10,7,7,8,1,1
6,31,0,Travel_Rarely,Sales,7,4,Life Sciences,941,2,Male,2,Sales Representative,3,Married,2329,3,No,15,3,0,13,2,7,7,5,2,2,1
7,32,1,Travel_Rarely,Research & Development,1,3,Life Sciences,331,4,Male,2,Laboratory Technician,3,Single,3730,0,Yes,14,3,0,4,2,3,2,1,2,1,1
8,33,0,Travel_Rarely,Research & Development,4,4,Medical,1502,1,Female,2,Laboratory Technician,2,Married,3838,8,No,11,3,0,8,5,5,4,0,2,5,1
9,35,0,Travel_Frequently,Sales,11,2,Marketing,1137,4,Male,3,Sales Executive,4,Divorced,4968,1,No,11,3,1,5,3,5,2,0,2,4,1
10,21,1,Travel_Rarely,Sales,7,1,Marketing,1780,2,Male,3,Sales Representative,2,Single,2679,1,No,13,3,0,1,3,1,0,1,0,5,1
11,33,0,Travel_Frequently,Sales,7,3,Life Sciences,1114,4,Female,3,Sales Executive,2,Married,4302,0,No,17,3,1,4,3,3,2,0,2,3,1
12,60,0,Travel_Frequently,Sales,28,3,Marketing,573,3,Female,2,Sales Executive,1,Married,10266,4,No,19,3,0,22,5,18,13,13,11,4,1
13,29,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1249,1,Female,3,Research Scientist,4,Divorced,3760,1,No,15,3,3,3,5,3,2,1,2,3,1
14,40,0,Travel_Frequently,Research & Development,26,2,Medical,1180,3,Female,2,Research Scientist,4,Married,4422,3,Yes,13,3,1,16,3,1,1,0,0,1,1
15,37,1,Travel_Frequently,Research & Development,10,3,Medical,342,1,Male,3,Manufacturing Director,3,Divorced,10048,6,No,11,3,2,17,5,1,0,0,0,3,1
16,29,0,Travel_Frequently,Research & Development,2,1,Life Sciences,1590,1,Male,3,Healthcare Representative,4,Divorced,8853,1,No,19,3,1,6,0,6,4,1,3,2,1
17,32,1,Travel_Rarely,Sales,2,4,Marketing,1862,3,Male,2,Sales Executive,2,Single,9907,7,Yes,12,3,0,7,3,2,2,2,2,1,1
18,29,0,Travel_Rarely,Research & Development,9,3,Life Sciences,1558,3,Male,4,Research Scientist,3,Married,2451,6,No,18,3,2,5,2,1,0,0,0,5,1
19,34,0,Travel_Rarely,Research & Development,9,3,Life Sciences,1344,4,Male,3,Healthcare Representative,4,Divorced,8500,0,No,11,3,1,10,0,9,7,1,6,5,1
20,41,0,Travel_Rarely,Research & Development,1,3,Life Sciences,1999,4,Male,3,Research Scientist,4,Married,2782,3,No,22,4,1,12,3,5,3,1,0,5,1
21,30,0,Travel_Rarely,Research & Development,16,3,Life Sciences,1763,3,Male,4,Healthcare Representative,3,Married,5294,3,No,16,3,1,10,3,7,0,1,7,1,1
22,38,0,Travel_Frequently,Research & Development,2,2,Life Sciences,556,4,Male,3,Laboratory Technician,4,Married,1702,1,Yes,23,4,1,1,3,1,0,0,0,4,1
23,34,0,Travel_Rarely,Sales,1,4,Marketing,1047,2,Male,4,Sales Executive,4,Divorced,9725,0,No,11,3,1,16,2,15,1,0,9,1,1
24,39,0,Travel_Rarely,Research & Development,6,1,Medical,2062,4,Male,2,Healthcare Representative,1,Married,9991,4,No,15,3,1,9,5,7,7,1,7,2,1
25,37,0,Travel_Rarely,Research & Development,7,4,Medical,102,1,Male,3,Research Director,3,Single,13664,4,No,13,3,0,16,3,5,2,0,2,5,1
26,31,0,Travel_Rarely,Research & Development,12,3,Medical,961,4,Female,3,Healthcare Representative,4,Married,5855,0,Yes,11,3,2,10,2,9,7,8,5,3,1
27,36,0,Travel_Rarely,Research & Development,4,4,Life Sciences,1435,1,Male,2,Laboratory Technician,4,Single,5810,1,No,16,3,0,10,2,10,4,1,8,2,1
28,45,0,Travel_Rarely,Sales,20,3,Life Sciences,2046,4,Female,3,Sales Executive,3,Single,4850,8,No,15,3,0,8,3,5,3,0,1,3,1
29,36,0,Travel_Rarely,Sales,16,4,Marketing,1436,3,Female,2,Sales Executive,1,Married,5647,4,No,13,3,2,11,3,3,2,0,2,5,1
30,44,0,Travel_Rarely,Sales,28,3,Medical,1039,4,Female,4,Sales Executive,4,Married,13320,3,Yes,18,3,1,23,2,12,11,11,11,2,1
